Method,Model,F1,TPR@5%FPR,TPR@10%FPR
Perplexity,GPT-2,0.7324,0.5477,0.6926
Perplexity,OPT-6.7B,0.7419,0.5518,0.7023
Perplexity,Mistral-7B,0.7477,0.5437,0.6438
Perplexity,QwQ-32B,0.7204,0.4645,0.6596
Perplexity,Llama2-7B,0.7082,0.4752,0.6436
Perplexity,Llama2-70B,0.6786,0.4655,0.6069
HalluGuard,GPT-2,0.9819,1.0,1.0
HalluGuard,OPT-6.7B,0.987,1.0,1.0
HalluGuard,Mistral-7B,0.9786,1.0,1.0
HalluGuard,QwQ-32B,0.985,0.9967,1.0
HalluGuard,Llama2-7B,0.9776,0.9932,0.9932
HalluGuard,Llama2-70B,0.9817,0.9967,1.0
Inside,GPT-2,0.8315,0.7643,0.8535
Inside,OPT-6.7B,0.8227,0.7297,0.8345
Inside,Mistral-7B,0.8237,0.7845,0.8339
Inside,QwQ-32B,0.7987,0.6469,0.7987
Inside,Llama2-7B,0.8267,0.7759,0.8528
Inside,Llama2-70B,0.8123,0.758,0.8217
MIND,GPT-2,0.8712,0.8469,0.9156
MIND,OPT-6.7B,0.8272,0.7893,0.8736
MIND,Mistral-7B,0.8412,0.7969,0.8719
MIND,QwQ-32B,0.8576,0.777,0.918
MIND,Llama2-7B,0.8473,0.7973,0.89
MIND,Llama2-70B,0.8549,0.8273,0.8921
LN-Entropy,GPT-2,0.7755,0.6379,0.7708
LN-Entropy,OPT-6.7B,0.7513,0.6485,0.7406
LN-Entropy,Mistral-7B,0.8139,0.7555,0.8248
LN-Entropy,QwQ-32B,0.7951,0.6613,0.7859
LN-Entropy,Llama2-7B,0.7919,0.7128,0.8166
LN-Entropy,Llama2-70B,0.8116,0.7083,0.8173
Energy,GPT-2,0.7873,0.6339,0.8
Energy,OPT-6.7B,0.7414,0.5844,0.7063
Energy,Mistral-7B,0.7712,0.57,0.7679
Energy,QwQ-32B,0.7588,0.5513,0.7019
Energy,Llama2-7B,0.7511,0.6381,0.7111
Energy,Llama2-70B,0.7253,0.5445,0.6541
Semantic Ent.,GPT-2,0.8403,0.7774,0.8975
Semantic Ent.,OPT-6.7B,0.7964,0.7167,0.802
Semantic Ent.,Mistral-7B,0.8567,0.7915,0.9023
Semantic Ent.,QwQ-32B,0.837,0.7974,0.8431
Semantic Ent.,Llama2-7B,0.8315,0.72,0.87
Semantic Ent.,Llama2-70B,0.8185,0.7096,0.8482
Lexical Sim.,GPT-2,0.8044,0.7482,0.8227
Lexical Sim.,OPT-6.7B,0.8398,0.7799,0.8641
Lexical Sim.,Mistral-7B,0.8134,0.7051,0.8109
Lexical Sim.,QwQ-32B,0.7839,0.68,0.8
Lexical Sim.,Llama2-7B,0.8167,0.709,0.8495
Lexical Sim.,Llama2-70B,0.7841,0.6587,0.7747
SelfCheckGPT,GPT-2,0.9846,1.0,1.0
SelfCheckGPT,OPT-6.7B,0.9832,0.9966,0.9966
SelfCheckGPT,Mistral-7B,0.9831,1.0,1.0
SelfCheckGPT,QwQ-32B,0.9916,1.0,1.0
SelfCheckGPT,Llama2-7B,0.9888,1.0,1.0
SelfCheckGPT,Llama2-70B,0.9884,1.0,1.0
RACE,GPT-2,0.9364,0.9478,0.9797
RACE,OPT-6.7B,0.9379,0.9444,0.9706
RACE,Mistral-7B,0.9185,0.9481,0.9654
RACE,QwQ-32B,0.8942,0.8833,0.9233
RACE,Llama2-7B,0.9281,0.9375,0.9781
RACE,Llama2-70B,0.9007,0.9097,0.9599
P(true),GPT-2,0.8915,0.8912,0.9524
P(true),OPT-6.7B,0.875,0.8636,0.9351
P(true),Mistral-7B,0.8664,0.8481,0.9152
P(true),QwQ-32B,0.8702,0.8515,0.9109
P(true),Llama2-7B,0.8953,0.8869,0.9576
P(true),Llama2-70B,0.8776,0.8702,0.9439
FActScore,GPT-2,0.9029,0.9112,0.9638
FActScore,OPT-6.7B,0.9044,0.907,0.9435
FActScore,Mistral-7B,0.8938,0.8908,0.9577
FActScore,QwQ-32B,0.8744,0.8581,0.9274
FActScore,Llama2-7B,0.9113,0.9326,0.9752
FActScore,Llama2-70B,0.8836,0.8615,0.9015
